gene1,strand1,chrom1,gene2,strand2,chrom2,RNA_split_read_count,variant_count,DNA_split_reads_at_variants,variant_names,transcript_length,score
AC023590.1,antisense,8,ERBB2,antisense,17,5,3,15|42|123,12308|10007|27150,755852,21.00
AC023590.1,antisense,8,ERBB2,antisense,17,5,3,15|42|89,12308|10007|27151,756394,21.00
AC023590.1,antisense,8,ERBB2,sense,17,5,3,15|117|123,12308|10009|27150,712048,21.00
AC023590.1,antisense,8,ERBB2,sense,17,5,3,15|117|89,12308|10009|27151,712590,21.00
AC023590.1,antisense,8,ERBB2,sense,17,5,3,15|10|123,12308|10006|27150,714643,21.00
AC023590.1,antisense,8,ERBB2,sense,17,5,3,15|10|89,12308|10006|27151,715185,21.00
AC023590.1,sense,8,ERBB2,antisense,17,5,3,15|117|123,12308|10009|27150,873026,21.00
DHX35,sense,20,ITCH-IT1,sense,20,2,1,53,25134,95171,155.00
DHX35,sense,20,ITCH-IT1,antisense,20,2,1,53,25134,91549,75.00
PKIA,antisense,8,RARA,antisense,17,2,1,107,27161,50958,160.00
PKIA,antisense,8,RARA,sense,17,2,1,61,27159,1598833,26.00
PKIA,antisense,8,RARA,antisense,17,2,1,61,27159,1646483,26.00
PKIA,sense,8,RARA,sense,17,2,1,61,27159,1687961,26.00
PKIA,sense,8,RARA,antisense,17,2,1,61,27159,1735611,26.00
PKIA,antisense,8,RARA,sense,17,2,1,40,27160,1598103,24.00
PKIA,antisense,8,RARA,antisense,17,2,1,40,27160,1645753,24.00
PKIA,sense,8,RARA,sense,17,2,1,40,27160,1687231,24.00
PKIA,sense,8,RARA,antisense,17,2,1,40,27160,1734881,24.00
PKIA,antisense,8,RARA,sense,17,2,3,19|10|61,14243|14250|27159,3329413,21.00
PKIA,antisense,8,RARA,sense,17,2,3,19|10|40,14243|14250|27160,3328683,21.00
PKIA,antisense,8,RARA,antisense,17,2,3,19|10|61,14243|14250|27159,3377063,21.00
PKIA,antisense,8,RARA,antisense,17,2,3,19|10|40,14243|14250|27160,3376333,21.00
PKIA,sense,8,RARA,sense,17,2,3,19|10|61,14243|14250|27159,3418541,21.00
PKIA,sense,8,RARA,sense,17,2,3,19|10|40,14243|14250|27160,3417811,21.00
PKIA,sense,8,RARA,antisense,17,2,3,19|10|40,14243|14250|27160,3465461,21.00
AMZ2,sense,17,CASC8,antisense,8,2,1,14,27147,147399,71.00
ATAD5,sense,17,TLK2,sense,17,9,1,30,22811,96478,153.00
CYTH1,sense,17,EIF3H,sense,8,30,2,71|36,27144|12532,163708,53.00
CYTH1,sense,17,EIF3H,antisense,8,30,2,71|10,27144|12366,1099743,21.00
